Ballots with first choice:,Number of Ballots,AL G. MURRAY ranked in top 3,BEN BARTLETT ranked in top 3,DEBORAH MATTHEWS ranked in top 3,MARK A. COPLAN ranked in top 3
AL G. MURRAY,133.0,100.0,48.12,52.63,43.61
BEN BARTLETT,4060.0,25.62,100.0,40.42,56.03
DEBORAH MATTHEWS,1482.0,19.37,58.91,100.0,50.13
MARK A. COPLAN,1443.0,23.35,62.44,49.0,100.0
