Ballots with first choice:,Number of Ballots,BILL HEMENGER ranked in top 3,RAFAEL MANDELMAN ranked in top 3,REBECCA PROZAN ranked in top 3,SCOTT WIENER ranked in top 3,writeIns ranked in top 3
BILL HEMENGER,1802.0,100.0,21.2,41.07,48.22,0.44
RAFAEL MANDELMAN,12433.0,8.1,100.0,58.13,43.61,0.65
REBECCA PROZAN,5872.0,17.12,54.85,100.0,63.73,0.27
SCOTT WIENER,14813.0,21.9,40.52,62.56,100.0,0.28
writeIns,30.0,3.33,3.33,3.33,6.67,100.0
