Ballots with first choice:,Number of Ballots,Carol Kummer ranked in top 3,Dan W. Peterson ranked in top 3,Jason Stone ranked in top 3,McClain Looney ranked in top 3,Steve Barland ranked in top 3,writeIns ranked in top 3
Carol Kummer,2964.0,100.0,14.04,29.12,8.03,33.43,0.34
Dan W. Peterson,369.0,30.08,100.0,31.17,12.74,27.1,0.54
Jason Stone,2788.0,38.34,7.96,100.0,4.48,34.4,0.43
McClain Looney,151.0,31.13,24.5,29.8,100.0,25.17,2.65
Steve Barland,1541.0,41.53,12.2,33.68,5.65,100.0,0.39
writeIns,35.0,2.86,2.86,5.71,2.86,0.0,100.0
