Ballots with first choice:,Number of Ballots,DESLEY BROOKS ranked in top 3,LOREN TAYLOR ranked in top 3,MARLO RODRIGUEZ ranked in top 3,MYA WHITAKER ranked in top 3,NATASHA MIDDLETON ranked in top 3
DESLEY BROOKS,4429,4429,1558,776,1721,1046
LOREN TAYLOR,7158,1241,7158,2226,3392,3853
MARLO RODRIGUEZ,1591,284,671,1591,717,586
MYA WHITAKER,2500,714,1143,989,2500,968
NATASHA MIDDLETON,2167,310,1065,917,1265,2167
