Ballots with first choice:,Number of Ballots,Anthony Faber ranked in top 3,Gerardo Sandoval ranked in top 3,Phil Ting ranked in top 3,Ronald Chun ranked in top 3
Anthony Faber,18,18,6,8,12
Gerardo Sandoval,71850,7,71850,45763,42458
Phil Ting,94062,3,50921,94062,54610
Ronald Chun,33294,12,18547,21923,33294
