Ballots with first choice:,Number of Ballots,"Cheung, Leland ranked in top 3","Davis, Henrietta ranked in top 3","Decker, Marjorie C. ranked in top 3","Kelley, Craig A. ranked in top 3","Maher, David P. ranked in top 3","Marquardt, Charles J. ranked in top 3","Mello, Gary W. ranked in top 3","Moree, Gregg J. ranked in top 3","Nelson, Matthew P. ranked in top 3","Pascual, Jamake ranked in top 3","Reeves, Kenneth E. ranked in top 3","Seidel, Sam ranked in top 3","Simmons, E. Denise ranked in top 3","Stohlman, Jr., Thomas J. ranked in top 3","Toomey, Jr., Timothy J. ranked in top 3","Ward, Larry W. ranked in top 3","Williamson, James M. ranked in top 3","vanBeuzekom, Minka Y. ranked in top 3",writeIns ranked in top 3
"Cheung, Leland",2016,2016,572,416,285,334,118,35,13,101,16,250,330,309,130,206,133,28,360,2
"Davis, Henrietta",1435,506,1435,391,179,213,30,9,9,81,5,147,276,326,50,72,110,16,205,1
"Decker, Marjorie C.",1122,331,318,1122,127,198,21,14,6,45,16,196,125,283,22,110,83,14,107,0
"Kelley, Craig A.",1097,396,220,131,1097,161,115,23,9,45,11,90,184,126,71,65,97,19,202,4
"Maher, David P.",1685,408,272,329,175,1685,74,27,19,43,16,175,163,229,51,576,168,23,81,5
"Marquardt, Charles J.",499,107,30,32,121,76,499,56,40,27,9,25,40,21,46,68,44,19,51,3
"Mello, Gary W.",135,21,7,11,12,10,19,135,18,10,14,14,7,9,19,11,9,7,21,1
"Moree, Gregg J.",56,5,2,3,3,8,6,8,56,4,4,6,8,8,3,9,4,3,6,0
"Nelson, Matthew P.",542,142,136,77,34,63,17,13,11,542,21,53,67,67,19,81,94,12,62,4
"Pascual, Jamake",63,6,1,4,8,1,6,10,1,4,63,3,3,9,9,6,8,9,13,1
"Reeves, Kenneth E.",1011,178,139,168,49,113,17,2,2,29,11,1011,101,471,21,153,166,12,44,2
"Seidel, Sam",788,279,223,119,115,127,27,4,0,34,8,69,788,123,34,58,72,9,110,1
"Simmons, E. Denise",1262,270,275,249,72,160,12,14,5,32,17,441,92,1262,31,173,185,23,89,0
"Stohlman, Jr., Thomas J.",344,102,82,35,65,28,19,13,6,17,5,20,52,21,344,14,34,9,97,1
"Toomey, Jr., Timothy J.",1701,346,165,231,149,523,128,36,30,77,9,212,68,238,35,1701,136,20,62,6
"Ward, Larry W.",835,167,138,113,70,106,21,14,14,62,10,182,83,213,29,65,835,29,90,2
"Williamson, James M.",175,27,28,17,15,12,8,20,9,13,7,15,20,24,22,9,29,175,38,2
"vanBeuzekom, Minka Y.",1038,408,264,123,171,58,60,26,8,65,10,82,156,132,145,55,100,42,1038,1
writeIns,24,3,1,1,1,1,2,0,0,0,0,1,1,0,1,3,1,2,2,24
