Ballots with first choice:,Number of Ballots,IGOR A. TREGUB ranked in top 3,MARGO SCHUELER ranked in top 3,MARY BEHM-STEINBERG ranked in top 3,RASHI KESARWANI ranked in top 3
IGOR A. TREGUB,2811,2811,1714,930,1454
MARGO SCHUELER,1216,740,1216,326,750
MARY BEHM-STEINBERG,345,153,194,345,126
RASHI KESARWANI,3500,2158,2138,648,3500
