Ballots with first choice:,Number of Ballots,CAT BROOKS ranked in top 3,CEDRIC A. TROUPE ranked in top 3,JESSE A.J. SMITH ranked in top 3,KEN HOUSTON ranked in top 3,LIBBY SCHAAF ranked in top 3,MARCHON TATMON ranked in top 3,NANCY SIDEBOTHAM ranked in top 3,PAMELA PRICE ranked in top 3,PETER YUAN LIU ranked in top 3,SAIED KARAMOOZ ranked in top 3
CAT BROOKS,40760,40760,1496,1218,1468,14862,4920,1098,29729,466,8520
CEDRIC A. TROUPE,1128,294,1128,165,176,213,165,163,335,77,131
JESSE A.J. SMITH,743,170,109,743,110,173,68,103,244,61,87
KEN HOUSTON,2640,669,365,261,2640,589,301,258,723,175,222
LIBBY SCHAAF,84502,30300,2463,2126,2817,84502,4982,5150,35053,2330,6227
MARCHON TATMON,2114,688,221,78,198,564,2114,157,915,59,162
NANCY SIDEBOTHAM,1766,216,226,137,271,417,235,1766,342,176,287
PAMELA PRICE,20794,11714,1252,800,1212,9396,3248,1148,20794,385,2047
PETER YUAN LIU,1166,137,102,103,178,308,106,179,170,1166,184
SAIED KARAMOOZ,3005,1643,170,133,160,741,240,280,1677,130,3005
