Ballots with first choice:,Number of Ballots,Erica Mauter ranked in top 3,Jeremy Schroeder ranked in top 3,John Quincy ranked in top 3,writeIns ranked in top 3
Erica Mauter,2696,2696,2126,1737,51
Jeremy Schroeder,3230,2250,3230,2043,68
John Quincy,3200,1685,1869,3200,39
writeIns,34,1,3,7,34
