Ballots with first choice:,Number of Ballots,Barbara A. Johnson ranked in top 3,Grant Cermak ranked in top 3,Marcus Harcus ranked in top 3,Troy Parker ranked in top 3,writeIns ranked in top 3
Barbara A. Johnson,1546.0,100.0,16.88,22.51,32.92,0.26
Grant Cermak,386.0,24.61,100.0,28.76,30.05,1.81
Marcus Harcus,442.0,43.89,31.0,100.0,66.52,0.68
Troy Parker,921.0,39.74,26.06,47.99,100.0,0.54
writeIns,4.0,25.0,0.0,0.0,0.0,100.0
