Ballots with first choice:,Number of Ballots,DAVID LUCE ranked in top 3,JON OLSON ranked in top 3,writeIns ranked in top 3
DAVID LUCE,1931.0,100.0,53.81,4.4
JON OLSON,4070.0,40.57,100.0,3.64
writeIns,53.0,26.42,28.3,100.0
