Ballots with first choice:,Number of Ballots,BRUCE QUAN ranked in top 3,FRANCIS ''MATT'' HUMMEL ranked in top 3,NANCY SIDEBOTHAM ranked in top 3,PEGGY MOORE ranked in top 3,REBECCA KAPLAN ranked in top 3
BRUCE QUAN,27342,27342,6423,5550,14618,15105
FRANCIS ''MATT'' HUMMEL,11593,4983,11593,2962,3113,6134
NANCY SIDEBOTHAM,5799,2354,1829,5799,1903,2097
PEGGY MOORE,31925,15817,4918,6392,31925,18587
REBECCA KAPLAN,83365,40120,11267,11705,41263,83365
