Ballots with first choice:,Number of Ballots,Chris Daly ranked in top 3,Davy Jones ranked in top 3,George Dias ranked in top 3,"Manuel Jimenez, Jr. ranked in top 3",Matt Drake ranked in top 3,Rob Black ranked in top 3,Robert Jordan ranked in top 3,Viliam Dugovic ranked in top 3
Chris Daly,8746.0,100.0,16.65,6.09,10.76,10.37,25.06,4.47,12.42
Davy Jones,389.0,27.51,100.0,10.8,18.25,21.85,30.33,10.28,17.22
George Dias,230.0,25.22,18.26,100.0,33.91,25.22,30.0,10.0,11.74
"Manuel Jimenez, Jr.",317.0,30.91,18.93,30.91,100.0,15.46,30.28,6.31,7.26
Matt Drake,679.0,23.42,13.55,16.79,15.46,100.0,44.62,10.31,13.7
Rob Black,7115.0,22.29,12.78,10.74,16.75,29.19,100.0,4.65,8.84
Robert Jordan,125.0,28.8,16.0,4.0,12.8,14.4,26.4,100.0,11.2
Viliam Dugovic,340.0,30.29,20.88,15.29,11.76,35.59,22.65,12.06,100.0
