Ballots with first choice:,Number of Ballots,ALFRED TWU ranked in top 3,LORI DROSTE ranked in top 3,MARY KAY LACEY ranked in top 3,RUSS TILLEMAN ranked in top 3
ALFRED TWU,695,695,397,442,217
LORI DROSTE,3677,1395,3677,2179,923
MARY KAY LACEY,1990,881,1152,1990,779
RUSS TILLEMAN,183,77,103,104,183
