Ballots with first choice:,Number of Ballots,ALEJANDRO SOTO-VIGIL ranked in top 3,LINDA MAIO ranked in top 3,MERRILIE MITCHELL ranked in top 3
ALEJANDRO SOTO-VIGIL,2270,2270,1428,1148
LINDA MAIO,3038,1743,3038,1264
MERRILIE MITCHELL,256,149,154,256
