Ballots with first choice:,Number of Ballots,AMY LEMLEY ranked in top 3,CRAIG BRANDT ranked in top 3,DAN KALB ranked in top 3,DONALD MACLEAY ranked in top 3,GORDON ''DON'' LINK ranked in top 3,LEN RAPHAEL ranked in top 3,RICHARD RAYA ranked in top 3,writeIns ranked in top 3
AMY LEMLEY,7255,7255,952,3583,656,1048,909,2722,37
CRAIG BRANDT,1386,462,1386,369,186,363,401,352,3
DAN KALB,8259,3886,772,8259,897,1044,904,2973,48
DONALD MACLEAY,1858,358,839,1153,1858,217,208,350,11
GORDON ''DON'' LINK,2152,717,468,613,330,2152,406,712,16
LEN RAPHAEL,1905,517,441,583,282,468,1905,626,19
RICHARD RAYA,5737,3078,584,2974,458,851,764,5737,25
writeIns,107,4,1,5,4,1,3,0,107
