Ballots with first choice:,Number of Ballots,CORINA N. LOPEZ ranked in top 3,PAULINE RUSSO CUTTER ranked in top 3,writeIns ranked in top 3
CORINA N. LOPEZ,9291.0,100.0,54.24,7.61
PAULINE RUSSO CUTTER,10784.0,58.23,100.0,7.32
writeIns,217.0,21.66,21.66,100.0
