Ballots with first choice:,Number of Ballots,Calvin Goings ranked in top 3,Mike Lonergan ranked in top 3,Pat McCarthy ranked in top 3,Shawn Bunney ranked in top 3,writeIns ranked in top 3
Calvin Goings,69052,69052,28271,43721,17891,420
Mike Lonergan,45330,20668,45330,21557,19457,371
Pat McCarthy,79235,53998,35588,79235,17717,454
Shawn Bunney,105057,29161,40613,29365,105057,1439
writeIns,458,42,76,46,48,458
