Ballots with first choice:,Number of Ballots,Anthony Faber ranked in top 3,Gerardo Sandoval ranked in top 3,Phil Ting ranked in top 3,Ronald Chun ranked in top 3
Anthony Faber,18.0,100.0,33.33,44.44,66.67
Gerardo Sandoval,71850.0,0.01,100.0,63.69,59.09
Phil Ting,94062.0,0.0,54.14,100.0,58.06
Ronald Chun,33294.0,0.04,55.71,65.85,100.0
