Ballots with first choice:,Number of Ballots,BENJAMIN LANG ranked in top 3,JUMOKE HINTON HODGE ranked in top 3,KHARYSHI ''MS. K'' WIGINTON ranked in top 3,LUCKY NARAIN ranked in top 3,MISTY CROSS ranked in top 3
BENJAMIN LANG,4391,4391,2416,2609,1001,0
JUMOKE HINTON HODGE,8905,4638,8905,4716,1355,3
KHARYSHI ''MS. K'' WIGINTON,7400,4495,3543,7400,1074,11
LUCKY NARAIN,1616,827,631,644,1616,0
MISTY CROSS,39,7,7,12,1,39
