Ballots with first choice:,Number of Ballots,ADOLFO CABRAL ranked in top 3,DARRYL MOORE ranked in top 3,DENISHA DELANE ranked in top 3,writeIns ranked in top 3
ADOLFO CABRAL,736,736,423,551,18
DARRYL MOORE,3407,1561,3407,1762,31
DENISHA DELANE,1631,1172,899,1631,26
writeIns,30,9,5,7,30
