Ballots with first choice:,Number of Ballots,AARON PESKIN ranked in top 3,JULIE CHRISTENSEN ranked in top 3,WILMA PANG ranked in top 3
AARON PESKIN,8767.0,100.0,35.68,40.8
JULIE CHRISTENSEN,7267.0,29.38,100.0,41.42
WILMA PANG,660.0,42.12,50.76,100.0
