Ballots with first choice:,Number of Ballots,Bob Reuer ranked in top 3,Linea Palmisano ranked in top 3,writeIns ranked in top 3
Bob Reuer,1835,1835,545,131
Linea Palmisano,9410,2186,9410,311
writeIns,68,12,20,68
