Ballots with first choice:,Number of Ballots,BENNY LEE ranked in top 3,CHRIS CROW ranked in top 3,DARLENE DAEVU ranked in top 3,JUSTIN HUTCHISON ranked in top 3,writeIns ranked in top 3
BENNY LEE,10271,10271,5191,5270,3205,91
CHRIS CROW,5687,2729,5687,3034,2084,63
DARLENE DAEVU,4655,2541,2448,4655,1611,58
JUSTIN HUTCHISON,2434,1090,1195,1155,2434,24
writeIns,228,13,15,24,19,228
