Ballots with first choice:,Number of Ballots,BENNY LEE ranked in top 3,DAN DILLMAN ranked in top 3,JEROMEY SHAFER ranked in top 3,PAULINE RUSSO CUTTER ranked in top 3
BENNY LEE,7045.0,100.0,30.52,41.26,54.82
DAN DILLMAN,1824.0,47.42,100.0,43.48,46.77
JEROMEY SHAFER,3567.0,46.96,41.63,100.0,50.18
PAULINE RUSSO CUTTER,13355.0,54.86,28.78,43.96,100.0
