Ballots with first choice:,Number of Ballots,ADAM KIM ranked in top 3,ARTHUR TOM ranked in top 3,GORDON MAR ranked in top 3,JESSICA HO ranked in top 3,LOU ANN BASSAN ranked in top 3,MIKE MURPHY ranked in top 3,TREVOR MCNEIL ranked in top 3,TUAN NGUYEN ranked in top 3
ADAM KIM,515,515,127,140,184,82,91,119,103
ARTHUR TOM,2441,188,2441,783,805,695,301,651,272
GORDON MAR,10314,1232,1781,10314,3255,985,1930,2793,869
JESSICA HO,7444,825,2001,2811,7444,1096,618,1989,967
LOU ANN BASSAN,2183,131,557,452,572,2183,470,589,192
MIKE MURPHY,1182,208,204,347,181,302,1182,431,97
TREVOR MCNEIL,3490,177,579,1413,1167,761,1012,3490,304
TUAN NGUYEN,853,102,155,283,262,122,115,237,853
