Ballots with first choice:,Number of Ballots,CORINA LOPEZ ranked in top 3,LEAH HALL ranked in top 3,MIA OUSLEY ranked in top 3
CORINA LOPEZ,7906,7906,4996,5023
LEAH HALL,3486,2255,3486,2300
MIA OUSLEY,3292,2270,2188,3292
