Ballots with first choice:,Number of Ballots,BEVAN DUFTY ranked in top 3,CESAR ASCARRUNZ ranked in top 3,DAVID CHIU ranked in top 3,DENNIS HERRERA ranked in top 3,ED LEE ranked in top 3,EMIL LAWRENCE ranked in top 3,JEFF ADACHI ranked in top 3,JOANNA REES ranked in top 3,JOHN AVALOS ranked in top 3,LELAND YEE ranked in top 3,MICHELA ALIOTO-PIER ranked in top 3,PAUL CURRIER ranked in top 3,PHIL TING ranked in top 3,TERRY JOAN BAUM ranked in top 3,TONY HALL ranked in top 3,WILMA PANG ranked in top 3,writeIns ranked in top 3
BEVAN DUFTY,9208,9208,131,1665,3916,2485,49,1034,487,2328,1174,1144,60,281,233,287,65,1
CESAR ASCARRUNZ,537,43,537,29,101,84,43,68,46,124,50,108,25,18,28,65,19,0
DAVID CHIU,17921,2258,117,17921,5437,7023,52,3489,989,3459,3126,1488,72,1400,155,526,313,1
DENNIS HERRERA,21914,5080,445,4919,21914,4343,158,3593,1451,6756,3951,2575,140,611,365,947,128,2
ED LEE,59775,6942,687,22952,8675,59775,383,8384,2470,4380,11487,6924,300,7005,475,2879,2715,7
EMIL LAWRENCE,382,25,48,28,36,46,382,49,54,20,23,60,30,19,31,59,26,1
JEFF ADACHI,12534,1229,240,2867,3280,2816,155,12534,1005,2222,1963,1482,126,649,351,1473,235,4
JOANNA REES,3104,333,85,491,665,699,110,451,3104,313,345,666,57,118,117,388,93,0
JOHN AVALOS,37445,4381,848,5789,20006,3836,140,7754,1040,37445,11684,1832,266,590,5122,432,277,3
LELAND YEE,14609,1136,209,3734,3310,4176,70,1961,670,3197,14609,1833,93,878,225,603,354,5
MICHELA ALIOTO-PIER,6648,805,201,745,1426,1616,151,850,826,670,964,6648,83,166,187,759,139,0
PAUL CURRIER,248,21,19,21,46,29,23,45,24,35,21,27,248,13,24,37,18,0
PHIL TING,1016,96,18,284,205,330,10,183,80,142,172,92,10,1016,22,55,37,0
TERRY JOAN BAUM,1665,132,30,105,337,87,44,624,97,1138,178,88,38,29,1665,38,74,0
TONY HALL,6930,409,232,554,877,2020,221,1500,1020,276,522,1402,89,266,109,6930,60,2
WILMA PANG,444,17,16,85,37,116,17,84,59,32,54,39,27,54,58,32,444,0
writeIns,38,3,1,0,3,5,4,2,2,5,4,1,1,0,1,9,1,38
