Ballots with first choice:,Number of Ballots,"Craig, Christopher ranked in top 3","Fantini, Alfred B. ranked in top 3","Grassi, Joseph G. ranked in top 3","Harding, Richard, Jr. ranked in top 3","Lummis, Ben ranked in top 3","McGovern, Marc C. ranked in top 3","Price, Alan C. ranked in top 3","Walser, Nancy ranked in top 3",writeIns ranked in top 3
"Craig, Christopher",556,556,89,73,53,285,261,71,92,0
"Fantini, Alfred B.",2884,161,2884,1668,678,321,434,271,483,10
"Grassi, Joseph G.",2276,147,1220,2276,599,190,251,202,387,8
"Harding, Richard, Jr.",2344,123,486,567,2344,394,407,642,638,10
"Lummis, Ben",2588,422,238,221,490,2588,1058,798,838,6
"McGovern, Marc C.",2702,442,410,314,552,1056,2702,584,824,11
"Price, Alan C.",1293,93,182,98,472,464,343,1293,569,3
"Walser, Nancy",3823,304,547,486,1194,1035,749,1287,3823,7
writeIns,97,4,4,3,7,11,8,7,11,97
