Ballots with first choice:,Number of Ballots,Mike Wendorf ranked in top 3,Scott Vreeland ranked in top 3,writeIns ranked in top 3
Mike Wendorf,1239.0,100.0,38.1,3.71
Scott Vreeland,3430.0,21.4,100.0,1.75
writeIns,67.0,17.91,37.31,100.0
