Ballots with first choice:,Number of Ballots,"Cote, Adam Roland ranked in top 3","Dion, Donna J. ranked in top 3","Dion, Mark N. ranked in top 3","Eves, Mark W. ranked in top 3","Mills, Janet T. ranked in top 3","Russell, Diane Marie ranked in top 3","Sweet, Elizabeth A. ranked in top 3",writeIns ranked in top 3
"Cote, Adam Roland",35497,35497,2863,7195,15597,16601,2235,12711,98
"Dion, Donna J.",1600,471,1600,402,305,495,325,387,14
"Dion, Mark N.",5208,1878,613,5208,1627,2114,696,1330,12
"Eves, Mark W.",17897,7938,833,2790,17897,8579,1913,9391,29
"Mills, Janet T.",41765,16235,2957,7976,16728,41765,4015,17109,81
"Russell, Diane Marie",2731,585,390,524,855,966,2731,1487,14
"Sweet, Elizabeth A.",20792,7398,1816,2755,10119,9608,4685,20792,53
writeIns,757,104,39,80,57,95,57,82,757
