Ballots with first choice:,Number of Ballots,LAWRENCE ''STARK'' DAGESSE ranked in top 3,RAFAEL MANDELMAN ranked in top 3
LAWRENCE ''STARK'' DAGESSE,3598.0,100.0,57.53
RAFAEL MANDELMAN,38406.0,25.63,100.0
