Ballots with first choice:,Number of Ballots,Abdi Warsame ranked in top 3,Fadumo Yusuf ranked in top 3,Mohamud Noor ranked in top 3,Tiffini Forslund ranked in top 3,writeIns ranked in top 3
Abdi Warsame,3628.0,100.0,9.65,22.68,0.0,1.6
Fadumo Yusuf,183.0,34.43,100.0,36.61,0.0,4.92
Mohamud Noor,3389.0,35.97,14.25,100.0,0.15,2.54
Tiffini Forslund,6.0,0.0,16.67,83.33,100.0,16.67
writeIns,26.0,15.38,3.85,23.08,0.0,100.0
