Ballots with first choice:,Number of Ballots,"DAVID L. ANDERSON, SR. ranked in top 3",DEBORAH COX ranked in top 3,KENNETH PON ranked in top 3,MIKE KATZ-LACABE ranked in top 3
"DAVID L. ANDERSON, SR.",2048,2048,945,813,696
DEBORAH COX,6552,2032,6552,3262,3190
KENNETH PON,3365,1066,1986,3365,1516
MIKE KATZ-LACABE,3480,1007,2077,1836,3480
