Ballots with first choice:,Number of Ballots,CORINA N. LOPEZ ranked in top 3,MAXINE OLIVER-BENSON ranked in top 3
CORINA N. LOPEZ,16415,16415,9102
MAXINE OLIVER-BENSON,6875,4077,6875
