Ballots with first choice:,Number of Ballots,JENNIFER S. PAE ranked in top 3,PATRICIA KERNIGHAN ranked in top 3,writeIns ranked in top 3
JENNIFER S. PAE,4604,4604,2336,461
PATRICIA KERNIGHAN,8954,4597,8954,717
writeIns,75,19,22,75
