Ballots with first choice:,Number of Ballots,BENJAMIN VISNICK ranked in top 3,GARY D. YEE ranked in top 3,writeIns ranked in top 3
BENJAMIN VISNICK,5798.0,100.0,60.52,11.81
GARY D. YEE,13043.0,53.25,100.0,7.64
writeIns,156.0,27.56,23.08,100.0
