Ballots with first choice:,Number of Ballots,DEAN PRESTON ranked in top 3,NOMVULA O'MEARA ranked in top 3,RYAN LAM ranked in top 3,VALLIE BROWN ranked in top 3,writeIns ranked in top 3
DEAN PRESTON,11239.0,11239.0,2356.0,3114.0,3933.0,0.0
NOMVULA O'MEARA,278.0,143.0,278.0,142.0,84.0,0.0
RYAN LAM,950.0,462.0,353.0,950.0,343.0,0.0
VALLIE BROWN,11206.0,4356.0,1643.0,2680.0,11206.0,0.0
writeIns,0.0,0,0,0,0,0
