Ballots with first choice:,Number of Ballots,AL G. MURRAY ranked in top 3,BEN BARTLETT ranked in top 3,DEBORAH MATTHEWS ranked in top 3,MARK A. COPLAN ranked in top 3
AL G. MURRAY,133,133,64,70,58
BEN BARTLETT,4060,1040,4060,1641,2275
DEBORAH MATTHEWS,1482,287,873,1482,743
MARK A. COPLAN,1443,337,901,707,1443
