Ballots with first choice:,Number of Ballots,David Regan ranked in top 3,Elizabeth Glidden ranked in top 3,Gregory McDonald ranked in top 3,Jeanine Estime ranked in top 3,Michael J. Cavlan ranked in top 3,writeIns ranked in top 3
David Regan,174,174,33,70,21,19,3
Elizabeth Glidden,2291,65,2291,393,1057,268,18
Gregory McDonald,115,26,49,115,41,30,1
Jeanine Estime,470,17,336,119,470,148,1
Michael J. Cavlan,43,5,18,8,26,43,0
writeIns,3,0,0,0,0,0,3
