Ballots with first choice:,Number of Ballots,LYNETTE GIBSON MCELHANEY ranked in top 3,NONI D. SESSION ranked in top 3
LYNETTE GIBSON MCELHANEY,13147,13147,7450
NONI D. SESSION,10108,4212,10108
