Ballots with first choice:,Number of Ballots,JENNIFER S. PAE ranked in top 3,PATRICIA KERNIGHAN ranked in top 3,writeIns ranked in top 3
JENNIFER S. PAE,4604.0,100.0,50.74,10.01
PATRICIA KERNIGHAN,8954.0,51.34,100.0,8.01
writeIns,75.0,25.33,29.33,100.0
