Ballots with first choice:,Number of Ballots,Al Flowers ranked in top 3,Bill McGaughey ranked in top 3,Bob Carney Jr. ranked in top 3,Christopher Clark ranked in top 3,Dick Franson ranked in top 3,James R. Everett ranked in top 3,Joey Lombard ranked in top 3,John Charles Wilson ranked in top 3,Papa John Kolstad ranked in top 3,R.T. Rybak ranked in top 3,Tom Fiske ranked in top 3,writeIns ranked in top 3
Al Flowers,1795.0,100.0,1.95,2.45,4.96,38.05,7.24,7.69,1.11,17.55,40.33,9.47,0.56
Bill McGaughey,232.0,15.95,100.0,7.76,12.93,17.24,6.47,7.76,6.03,34.05,19.4,5.17,0.43
Bob Carney Jr.,228.0,7.46,9.21,100.0,14.04,11.84,3.51,9.65,3.07,19.74,26.32,4.82,1.32
Christopher Clark,1337.0,4.86,7.7,6.58,100.0,7.48,4.49,14.66,2.62,25.88,17.95,2.84,2.32
Dick Franson,1579.0,34.96,3.61,2.72,7.73,100.0,1.71,6.78,1.08,16.72,39.14,4.18,0.57
James R. Everett,357.0,34.45,3.92,4.48,7.56,14.57,100.0,7.56,2.8,15.13,33.61,8.4,1.12
Joey Lombard,444.0,14.19,6.53,6.76,14.64,11.04,4.28,100.0,4.05,18.02,38.06,11.26,2.93
John Charles Wilson,137.0,13.87,9.49,14.6,8.76,8.76,8.03,13.87,100.0,21.17,24.09,16.06,0.73
Papa John Kolstad,4953.0,13.08,6.28,5.57,15.79,10.32,3.37,9.65,1.96,100.0,26.37,7.27,1.31
R.T. Rybak,33234.0,18.78,0.84,1.21,2.88,19.42,1.55,4.68,0.39,10.0,100.0,4.59,0.54
Tom Fiske,650.0,25.85,3.23,3.38,5.38,12.31,4.15,15.69,3.38,19.54,57.69,100.0,0.62
writeIns,211.0,5.69,1.42,0.0,2.84,10.9,3.79,6.64,1.42,24.17,22.75,1.42,100.0
