Ballots with first choice:,Number of Ballots,DEBORAH COX ranked in top 3,EVA ARCE ranked in top 3,KENNETH PON ranked in top 3
DEBORAH COX,16190.0,100.0,61.69,61.85
EVA ARCE,3951.0,64.14,100.0,64.95
KENNETH PON,4708.0,65.91,61.41,100.0
