Ballots with first choice:,Number of Ballots,BEVERLY WILLIAMS ranked in top 3,LARRY E. REID ranked in top 3,SHERYL WALTON ranked in top 3,writeIns ranked in top 3
BEVERLY WILLIAMS,1499.0,100.0,56.7,62.31,2.13
LARRY E. REID,8725.0,49.55,100.0,53.35,2.03
SHERYL WALTON,4734.0,58.79,56.1,100.0,2.58
writeIns,107.0,12.15,10.28,14.02,100.0
