Ballots with first choice:,Number of Ballots,Amy Klobuchar ranked in top 3,Bernie Sanders ranked in top 3,Elizabeth Warren ranked in top 3,Joseph R. Biden ranked in top 3,Michael R. Bloomberg ranked in top 3,Pete Buttigieg ranked in top 3,Tom Steyer ranked in top 3,Tulsi Gabbard ranked in top 3,Undeclared ranked in top 3
Amy Klobuchar,133,133,21,75,61,11,55,10,18,0
Bernie Sanders,7764,549,7764,3159,4062,207,691,315,845,253
Elizabeth Warren,1402,353,938,1402,884,30,291,67,46,12
Joseph R. Biden,9862,1658,4965,2729,9862,731,1364,618,293,110
Michael R. Bloomberg,97,9,42,21,61,97,18,14,3,4
Pete Buttigieg,248,71,92,111,152,27,248,8,8,2
Tom Steyer,65,10,27,19,34,15,10,65,7,0
Tulsi Gabbard,124,22,62,23,47,8,21,7,124,9
Undeclared,64,10,12,8,13,4,3,2,5,64
