Ballots with first choice:,Number of Ballots,KRISS WORTHINGTON ranked in top 3,SEAN BARRY ranked in top 3
KRISS WORTHINGTON,833.0,100.0,43.82
SEAN BARRY,670.0,46.57,100.0
