Ballots with first choice:,Number of Ballots,Don Samuels ranked in top 3,Kenya McKnight ranked in top 3,Lennie Chism ranked in top 3,Natalie Johnson Lee ranked in top 3,Roger Smithrud ranked in top 3,writeIns ranked in top 3
Don Samuels,1020,1020,324,121,325,74,13
Kenya McKnight,336,120,336,122,229,22,3
Lennie Chism,61,19,32,61,31,10,0
Natalie Johnson Lee,652,196,344,185,652,48,2
Roger Smithrud,93,28,15,18,31,93,6
writeIns,8,3,0,0,2,0,8
