Ballots with first choice:,Number of Ballots,"Benzan, Dennis A. ranked in top 3","Carlone, Dennis J. ranked in top 3","Cheung, Leland ranked in top 3","House, Janneke Ann ranked in top 3","Kelley, Craig A. ranked in top 3","Lee, James ranked in top 3","Leslie, Logan Edward ranked in top 3","Maher, David P. ranked in top 3","Mazen, Nadeem A. ranked in top 3","McGovern, Marc C. ranked in top 3","Mello, Gary W. ranked in top 3","Mirza, Mushtaque A. ranked in top 3","Moree, Gregg J. ranked in top 3","Peden, Ronald ranked in top 3","Phillips, Lesley Rebecca ranked in top 3","Reeves, Kenneth E. ranked in top 3","Seidel, Sam ranked in top 3","Simmons, E. Denise ranked in top 3","Smith, Jefferson R. ranked in top 3","Toomey, Jr., Timothy J. ranked in top 3","Vasquez, Luis ranked in top 3","Von Hoffmann, Kristen Lane ranked in top 3","Williamson, James M. ranked in top 3","Yarden, Elie ranked in top 3","vanBeuzekom, Minka Y. ranked in top 3",writeIns ranked in top 3
"Benzan, Dennis A.",1300,1300,106,240,50,93,26,15,122,119,218,12,22,3,11,14,290,70,327,60,135,112,39,10,17,112,1
"Carlone, Dennis J.",1151,100,1151,210,245,196,15,11,79,367,141,22,22,5,7,10,34,139,82,54,37,30,74,12,19,285,0
"Cheung, Leland",2391,171,165,2391,167,362,62,61,431,211,407,27,63,10,16,50,328,342,451,198,220,56,146,10,18,404,5
"House, Janneke Ann",409,33,94,95,409,52,8,12,28,107,30,3,10,0,1,14,19,51,37,35,13,8,33,3,10,73,0
"Kelley, Craig A.",1093,97,170,325,82,1093,18,23,155,120,131,11,14,10,6,18,75,164,126,55,65,16,79,4,17,219,2
"Lee, James",91,4,5,26,2,2,91,8,5,17,9,1,3,2,1,1,10,7,14,8,8,2,7,1,1,12,2
"Leslie, Logan Edward",504,26,24,107,38,42,19,504,76,30,36,24,8,11,9,12,25,21,20,14,55,12,17,4,2,26,7
"Maher, David P.",1463,109,51,386,43,150,8,53,1463,40,251,10,8,15,15,15,175,167,223,47,554,24,35,4,3,75,1
"Mazen, Nadeem A.",985,78,211,205,189,96,20,12,34,985,97,12,124,4,14,18,68,73,97,61,36,80,55,16,18,135,6
"McGovern, Marc C.",1187,207,87,354,60,106,17,12,204,92,1187,9,16,8,4,12,114,170,216,114,73,49,77,6,7,165,1
"Mello, Gary W.",107,9,27,26,4,18,5,14,6,13,7,107,9,5,4,0,3,8,2,2,4,4,0,2,1,17,1
"Mirza, Mushtaque A.",283,3,18,26,2,9,6,2,17,101,23,6,283,3,3,4,15,8,27,8,17,10,10,7,2,24,1
"Moree, Gregg J.",37,2,0,4,1,2,0,1,4,3,2,2,0,37,2,1,4,4,5,1,9,2,0,0,0,2,0
"Peden, Ronald",49,3,1,5,1,5,1,2,0,3,3,1,6,2,49,8,9,4,9,2,1,3,1,2,3,4,0
"Phillips, Lesley Rebecca",82,5,2,10,8,6,2,1,5,8,5,3,6,0,2,82,8,13,16,3,4,3,13,1,9,11,0
"Reeves, Kenneth E.",933,201,29,207,21,44,11,8,105,33,74,6,11,4,9,16,933,48,437,27,158,32,20,7,5,63,0
"Seidel, Sam",701,55,90,239,53,103,6,11,94,52,125,4,17,1,4,10,35,701,81,58,39,13,49,7,7,126,2
"Simmons, E. Denise",1183,216,50,291,41,63,10,9,134,55,136,8,16,3,5,32,396,74,1183,61,201,47,52,9,18,148,1
"Smith, Jefferson R.",579,59,56,181,54,45,9,13,44,89,82,3,12,1,2,13,33,69,73,579,48,27,47,8,4,79,0
"Toomey, Jr., Timothy J.",1456,143,42,298,36,126,23,34,467,38,117,22,12,12,6,26,210,52,194,64,1456,80,30,12,17,87,0
"Vasquez, Luis",263,59,16,43,11,17,12,5,23,33,33,3,8,1,4,12,23,11,37,16,25,263,12,7,9,32,0
"Von Hoffmann, Kristen Lane",420,42,42,100,41,64,7,12,24,44,55,4,16,1,4,22,23,35,56,44,24,16,420,7,24,79,0
"Williamson, James M.",74,9,23,6,4,4,4,1,1,8,2,12,2,0,2,1,9,1,8,3,3,8,4,74,7,7,0
"Yarden, Elie",102,15,12,15,6,9,2,1,5,24,7,0,10,0,9,4,6,13,9,4,2,4,7,12,102,18,1
"vanBeuzekom, Minka Y.",872,83,172,290,55,153,10,7,70,127,96,8,26,2,9,17,40,116,114,69,42,25,81,7,12,872,1
writeIns,15,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,15
