Ballots with first choice:,Number of Ballots,AK Hassan ranked in top 3,Abdi Gurhan Mohamed ranked in top 3,Charles Exner ranked in top 3,writeIns ranked in top 3
AK Hassan,7091.0,100.0,47.13,33.62,1.11
Abdi Gurhan Mohamed,5413.0,40.53,100.0,28.91,0.85
Charles Exner,2069.0,46.3,42.48,100.0,3.14
writeIns,52.0,5.77,3.85,11.54,100.0
