Ballots with first choice:,Number of Ballots,OWEN P. O''DONNELL ranked in top 3,ROB ANDERSON ranked in top 3,ROSS MIRKARIMI ranked in top 3,writeIns ranked in top 3
OWEN P. O''DONNELL,5993,5993,4146,4104,48
ROB ANDERSON,2014,1460,2014,1353,29
ROSS MIRKARIMI,27564,14670,13386,27564,263
writeIns,88,9,11,12,88
