Ballots with first choice:,Number of Ballots,BOB REUER ranked in top 3,DAVID REGAN ranked in top 3,LINEA PALMISANO ranked in top 3,MATT PERRY ranked in top 3,MISSY DURANT ranked in top 3,writeIns ranked in top 3
BOB REUER,749.0,100.0,37.52,19.76,31.91,11.08,2.67
DAVID REGAN,199.0,72.86,100.0,16.08,23.12,7.04,6.03
LINEA PALMISANO,4452.0,5.62,2.54,100.0,73.79,65.48,0.61
MATT PERRY,4063.0,12.23,5.59,68.47,100.0,57.99,0.74
MISSY DURANT,985.0,9.95,3.96,73.6,71.98,100.0,0.61
writeIns,10.0,20.0,10.0,40.0,0.0,40.0,100.0
