Ballots with first choice:,Number of Ballots,Janne Flisrand ranked in top 3,Joe Kovacs ranked in top 3,Lisa Goodman ranked in top 3,Teqen Zéa-Aida ranked in top 3,writeIns ranked in top 3
Janne Flisrand,2833.0,100.0,8.37,58.81,64.7,2.05
Joe Kovacs,602.0,28.57,100.0,43.36,15.61,4.15
Lisa Goodman,4750.0,47.87,11.52,100.0,37.49,0.8
Teqen Zéa-Aida,888.0,75.68,8.9,62.73,100.0,2.93
writeIns,14.0,28.57,7.14,35.71,7.14,100.0
