Ballots with first choice:,Number of Ballots,ANDY THORNLEY ranked in top 3,BRIAN J. LARKIN ranked in top 3,DAVID LEE ranked in top 3,JASON JUNGREIS ranked in top 3,JONATHAN LYENS ranked in top 3,MARJAN PHILHOUR ranked in top 3,RICHIE GREENBERG ranked in top 3,SAMUEL KWONG ranked in top 3,SANDRA LEE FEWER ranked in top 3,SHERMAN R. D'SILVA ranked in top 3
ANDY THORNLEY,360.0,100.0,14.17,13.06,7.22,23.06,36.11,6.94,2.22,54.44,6.94
BRIAN J. LARKIN,747.0,11.38,100.0,19.01,15.39,20.35,29.18,19.54,13.52,25.03,16.2
DAVID LEE,3402.0,2.53,8.08,100.0,5.23,10.58,43.83,6.64,23.6,50.38,7.08
JASON JUNGREIS,612.0,5.88,16.83,14.87,100.0,12.75,31.05,34.97,20.42,18.95,16.67
JONATHAN LYENS,611.0,7.86,15.88,21.77,8.18,100.0,37.81,14.57,7.36,44.19,12.93
MARJAN PHILHOUR,11099.0,3.5,8.11,40.43,4.46,8.94,100.0,10.57,8.85,48.45,5.92
RICHIE GREENBERG,980.0,6.84,24.49,17.45,16.43,13.88,30.71,100.0,11.63,19.18,14.8
SAMUEL KWONG,744.0,1.88,10.48,48.52,14.38,6.45,35.89,18.55,100.0,26.48,4.97
SANDRA LEE FEWER,12568.0,5.0,4.55,37.07,3.84,13.59,45.06,5.77,6.12,100.0,4.81
SHERMAN R. D'SILVA,558.0,7.35,18.82,26.52,10.75,11.47,35.13,16.13,4.66,30.11,100.0
