Ballots with first choice:,Number of Ballots,AIDAN HILL ranked in top 3,CECILIA ''CES'' ROSALES ranked in top 3,RIGEL ROBINSON ranked in top 3
AIDAN HILL,254,254,167,211
CECILIA ''CES'' ROSALES,967,624,967,769
RIGEL ROBINSON,1587,1022,1161,1587
