Ballots with first choice:,Number of Ballots,BENJAMIN VISNICK ranked in top 3,GARY D. YEE ranked in top 3,writeIns ranked in top 3
BENJAMIN VISNICK,5798,5798,3509,685
GARY D. YEE,13043,6946,13043,996
writeIns,156,43,36,156
