Ballots with first choice:,Number of Ballots,Bruce Lundeen ranked in top 3,David Schorn ranked in top 3,Lisa Bender ranked in top 3,Saralyn Romanishan ranked in top 3,writeIns ranked in top 3
Bruce Lundeen,419,419,150,105,107,16
David Schorn,709,135,709,361,488,21
Lisa Bender,4886,158,2545,4886,2714,78
Saralyn Romanishan,1562,176,1126,947,1562,57
writeIns,20,0,2,6,5,20
