Ballots with first choice:,Number of Ballots,ASHLEY H RHODES ranked in top 3,CHRIS JACKSON ranked in top 3,DEWITT M. LACY ranked in top 3,DIANE WESLEY SMITH ranked in top 3,ED DONALDSON ranked in top 3,ELLSWORTH ''ELL'' JENNISON ranked in top 3,ERIC SMITH ranked in top 3,GEOFFREA MORRIS ranked in top 3,JACKIE NORMAN ranked in top 3,JAMES M. CALLOWAY ranked in top 3,KRISTINE ENEA ranked in top 3,LYNETTE SWEET ranked in top 3,M.J. MARIE FRANKLIN ranked in top 3,MALIA COHEN ranked in top 3,MARLENE TRAN ranked in top 3,NYESE JOSHUA ranked in top 3,"RODNEY HAMPTON, JR. ranked in top 3",STEPHEN WEBER ranked in top 3,STEVE MOSS ranked in top 3,TERESA DUQUE ranked in top 3,TONY KELLY ranked in top 3,writeIns ranked in top 3
ASHLEY H RHODES,260.0,100.0,6.15,4.62,20.77,3.46,3.85,3.08,3.08,11.15,10.77,8.46,8.46,3.08,21.54,10.77,3.08,6.15,7.69,3.08,1.92,8.08,0.0
CHRIS JACKSON,1088.0,1.84,100.0,16.36,4.14,10.85,0.83,7.44,2.67,2.39,5.15,5.06,14.8,0.92,18.2,9.38,0.55,3.77,2.3,11.95,4.87,25.09,0.18
DEWITT M. LACY,1274.0,0.94,15.7,100.0,2.83,2.75,0.39,29.67,3.3,1.57,2.98,5.1,14.36,1.41,37.6,3.53,1.41,2.43,1.49,13.89,1.81,15.46,0.16
DIANE WESLEY SMITH,399.0,9.02,12.53,10.03,100.0,1.0,3.01,4.01,2.51,7.77,10.78,3.76,25.31,2.51,16.04,3.76,3.51,4.51,3.26,7.27,1.5,3.76,0.25
ED DONALDSON,202.0,0.99,8.91,13.37,5.94,100.0,0.99,7.43,5.45,5.45,6.93,4.95,28.22,2.97,17.33,1.49,0.99,15.84,4.46,8.42,3.47,2.48,0.0
ELLSWORTH ''ELL'' JENNISON,68.0,4.41,11.76,5.88,4.41,4.41,100.0,7.35,4.41,10.29,10.29,10.29,11.76,7.35,10.29,8.82,10.29,4.41,10.29,4.41,7.35,17.65,0.0
ERIC SMITH,448.0,1.56,19.42,19.2,3.35,3.79,0.67,100.0,3.79,1.79,3.79,5.36,7.81,0.89,25.45,3.12,0.45,3.79,3.12,22.54,0.67,30.58,0.0
GEOFFREA MORRIS,333.0,3.6,8.11,8.41,7.51,4.5,1.5,3.3,100.0,5.71,6.61,3.3,17.72,2.7,18.92,3.6,3.0,11.11,0.9,6.61,3.9,2.7,0.3
JACKIE NORMAN,186.0,10.22,10.75,7.53,15.59,3.23,1.08,5.38,5.91,100.0,3.76,4.3,18.82,1.61,16.67,0.54,3.76,8.6,2.15,5.91,1.08,4.3,0.0
JAMES M. CALLOWAY,417.0,5.28,11.99,10.55,10.07,3.6,3.36,4.08,5.52,4.56,100.0,6.47,15.35,4.08,11.27,8.39,4.56,7.91,5.04,10.55,4.8,6.95,0.0
KRISTINE ENEA,544.0,2.02,10.48,16.54,4.23,3.31,1.1,11.21,3.86,3.12,4.41,100.0,16.73,1.47,13.42,7.54,1.47,2.02,8.27,21.51,5.15,20.22,0.37
LYNETTE SWEET,2150.0,2.56,15.81,13.3,6.74,4.28,0.37,5.3,3.72,4.51,5.72,4.74,100.0,1.26,23.86,3.86,1.07,5.35,2.51,13.3,2.05,6.05,0.28
M.J. MARIE FRANKLIN,81.0,1.23,7.41,9.88,4.94,2.47,9.88,6.17,6.17,4.94,11.11,7.41,12.35,100.0,8.64,17.28,9.88,11.11,2.47,13.58,13.58,8.64,0.0
MALIA COHEN,2097.0,2.43,16.4,15.5,7.44,2.15,1.24,11.87,5.05,4.01,4.53,4.77,23.56,0.81,100.0,4.34,1.53,3.77,2.53,11.92,3.15,7.92,0.24
MARLENE TRAN,2049.0,1.37,11.86,4.78,1.32,1.32,0.83,1.66,2.59,0.98,4.93,3.07,7.22,2.24,6.2,100.0,1.27,1.02,2.54,8.98,49.05,10.69,0.1
NYESE JOSHUA,135.0,3.7,13.33,8.15,11.11,2.96,5.19,1.48,9.63,2.22,5.93,4.44,9.63,3.7,11.85,9.63,100.0,11.11,6.67,5.93,6.67,17.78,0.74
"RODNEY HAMPTON, JR.",237.0,9.28,10.13,8.86,9.28,9.28,3.38,7.59,9.7,3.38,9.28,3.38,16.88,3.38,10.97,4.64,6.33,100.0,5.91,7.17,2.53,4.22,0.0
STEPHEN WEBER,311.0,6.43,6.75,11.25,8.68,4.18,3.54,3.54,0.96,4.18,7.4,10.93,8.68,1.29,10.93,5.14,2.89,5.47,100.0,16.08,4.5,11.25,0.0
STEVE MOSS,1969.0,1.02,12.6,11.68,2.64,2.29,1.32,9.09,1.83,1.22,4.06,9.85,16.66,1.42,14.68,7.11,1.12,2.69,5.28,100.0,5.28,27.48,0.15
TERESA DUQUE,1441.0,0.76,6.66,4.44,1.39,0.56,1.39,1.6,1.53,1.6,2.36,2.64,5.34,3.75,8.12,52.88,2.08,1.32,1.46,8.67,100.0,5.9,0.21
TONY KELLY,2102.0,0.86,39.53,42.67,1.05,2.0,0.71,7.18,1.19,0.76,1.62,6.09,9.8,0.67,9.09,4.0,2.76,0.95,2.52,22.65,1.14,100.0,0.33
writeIns,17.0,0.0,5.88,11.76,0.0,5.88,0.0,0.0,0.0,5.88,5.88,5.88,23.53,0.0,5.88,0.0,0.0,0.0,0.0,5.88,0.0,0.0,100.0
