Ballots with first choice:,Number of Ballots,COURTNEY RUBY ranked in top 3,MICHAEL KILIAN ranked in top 3,writeIns ranked in top 3
COURTNEY RUBY,65335,65335,36681,5862
MICHAEL KILIAN,31086,19954,31086,3991
writeIns,1204,318,395,1204
