Ballots with first choice:,Number of Ballots,ANNIE YOUNG ranked in top 3,CASPER HILL ranked in top 3,HASHIM YONIS ranked in top 3,ISHMAEL ISRAEL ranked in top 3,JASON STONE ranked in top 3,JOHN ERWIN ranked in top 3,MARY LYNN MCPHERSON ranked in top 3,MEG FORNEY ranked in top 3,STEVE BARLAND ranked in top 3,TOM NORDYKE ranked in top 3,writeIns ranked in top 3
ANNIE YOUNG,9286.0,100.0,4.7,5.45,11.53,21.76,26.36,21.0,30.98,6.01,13.11,0.43
CASPER HILL,1280.0,23.52,100.0,5.78,10.23,17.34,23.67,14.22,22.03,14.22,11.33,1.17
HASHIM YONIS,3758.0,10.94,3.06,100.0,15.43,4.84,4.98,6.23,7.45,2.69,3.83,0.21
ISHMAEL ISRAEL,3303.0,27.88,7.9,21.83,100.0,15.59,14.8,11.99,18.95,4.75,8.42,1.06
JASON STONE,5354.0,33.83,5.94,3.6,12.27,100.0,41.95,6.99,15.0,11.64,19.48,0.45
JOHN ERWIN,14673.0,39.08,4.53,2.79,8.03,34.98,100.0,4.88,14.18,6.41,35.96,0.36
MARY LYNN MCPHERSON,3373.0,41.8,5.96,4.86,7.26,12.21,10.61,100.0,37.44,8.95,9.69,0.39
MEG FORNEY,7851.0,35.45,4.19,4.61,7.4,9.35,14.88,26.4,100.0,7.92,13.03,0.38
STEVE BARLAND,3703.0,16.01,6.54,2.65,5.89,14.85,20.23,11.94,22.31,100.0,16.96,0.65
TOM NORDYKE,6505.0,17.26,3.01,2.24,4.41,13.5,55.74,7.04,18.39,9.42,100.0,0.32
writeIns,340.0,4.12,1.47,2.35,3.24,3.24,2.06,3.53,4.41,1.47,1.47,100.0
