Ballots with first choice:,Number of Ballots,COURTNEY RUBY ranked in top 3,MICHAEL KILIAN ranked in top 3,writeIns ranked in top 3
COURTNEY RUBY,65335.0,100.0,56.14,8.97
MICHAEL KILIAN,31086.0,64.19,100.0,12.84
writeIns,1204.0,26.41,32.81,100.0
