Ballots with first choice:,Number of Ballots,Harvey Curley ranked in top 3,Larry Edwards ranked in top 3,Mary Hall-Rayford ranked in top 3,Sarah A. Lucido ranked in top 3,writeIns ranked in top 3
Harvey Curley,1611,1611,537,467,1089,12
Larry Edwards,464,191,464,224,239,10
Mary Hall-Rayford,1058,395,438,1058,703,20
Sarah A. Lucido,1854,934,738,968,1854,21
writeIns,19,3,2,3,4,19
