Ballots with first choice:,Number of Ballots,CARMEN CHU ranked in top 3,DAVE FERGUSON ranked in top 3,RON DUDUM ranked in top 3,writeIns ranked in top 3
CARMEN CHU,15405,15405,8526,9471,42
DAVE FERGUSON,3635,2384,3635,2499,45
RON DUDUM,10346,6145,6140,10346,115
writeIns,53,7,13,17,53
