Ballots with first choice:,Number of Ballots,Eric John Holmes ranked in top 3,Greg Scargall ranked in top 3,JoAnne Vigil Coppler ranked in top 3
Eric John Holmes,1305,1305,899,918
Greg Scargall,1473,1123,1473,1152
JoAnne Vigil Coppler,2121,1594,1572,2121
